MOLECULE_NAME,SMILES,Dielectric_Constant
dca,CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,9.6
gsh,NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O,9.6
2-butoxyethanol,CCCCOCCO,9.5
hexanal,CCCCCC=O,9.5
2-methylpyridine,Cc1ccccn1,9.46
tert-butyl_chloride,CC(C)(C)Cl,9.46
2_4-dimethylpyridine,Cc1ccnc(C)c1,9.42
3_4-dichlorotoluene,Cc1ccc(Cl)c(Cl)c1,9.39
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,9.37
phenol_red,Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,9.225
benzotrifluoride,FC(F)(F)c1ccccc1,9.2
mc,Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25,9.1
methylene_chloride,ClCCl,9.08
quinoline,c1ccc2ncccc2c1,9.08
azo,CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2,9
methyl_salicylate,COC(=O)c1ccccc1O,9
tco,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,9
phenyl_isocyanate,O=C=Nc1ccccc1,8.94
ace,CC(N)=O,8.93
dichloromethane,ClCCl,8.93
methylene_dichloride,ClCCl,8.93
dichloro-methane,ClCCl,8.9
nonan-1-ol,CCCCCCCCCO,8.83
nonanol,CCCCCCCCCO,8.83
dch,C1CCC(CC1)NC2CCCCC2,8.8
dppc,Cl[P](=O)(Oc1ccccc1)Oc2ccccc2,8.8
decan-1-ol,CCCCCCCCCCO,8.75
stearic_acid,CCCCCCCCCCCCCCCCCC(O)=O,8.75
tbep,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,8.7
dimethyl_phthalate,COC(=O)c1ccccc1C(=O)OC,8.66
p-cresol,Cc1ccc(O)cc1,8.65
tetrahydrothiophene,C1CCSC1,8.61
1_6-dichlorohexane,ClCCCCCCCl,8.6
dmp,[H+].[H+].[Cl-].[Cl-].COC(=N)CCCCCC(=N)OC,8.6
octanal,CCCCCCCC=O,8.6
1-chloro-n-propane,CCCCl,8.59
4-cyano-4-pentylbiphenyl,CCCCCC1(CC=C(C=C1)c2ccccc2)C#N,8.58
ethyl_formate,CCOC=O,8.57
2_2-dimethyl-1-propanol,CC(C)(C)CO,8.35
2-ethoxyethyl_acetate,CCOCCOC(C)=O,8.3
5-nonanone,CCCCC(=O)CCCC,8.3
pgmea,COCC(C)OC(C)=O,8.3
propylene_glycol_monomethyl_ether_acetate,COCC(C)OC(C)=O,8.3
2-octanol,CCCCCCC(C)O,8.2
tributyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,8.1781
tributylphosphate,CCCCO[P](=O)(OCCCC)OCCCC,8.1781
2-chlorobutane,CCC(C)Cl,8.136
6-undecanone,CCCCCC(=O)CCCCC,8
decanol,CCCCCCCCCCO,8
polypyrrole,[NH2+]1C=CC=C1,8
pyrrole,[nH]1cccc1,8
tbp,CCCCO[P](=O)(OCCCC)OCCCC,8
hcfc-141b,CC(F)(Cl)Cl,7.9
n-decanol,CCCCCCCCCCO,7.9
tetraglyme,COCCOCCOCCOCCOC,7.9
diethylmalonate,CCC(CC)(C([O-])=O)C([O-])=O,7.87
diethyl_phthalate,CCOC(=O)c1ccccc1C(=O)OCC,7.86
tetrachloroethane,ClCC(Cl)(Cl)Cl,7.85
ehma,CCOc1cc(ccc1O)C(O)C(O)=O,7.8
1-decanol,CCCCCCCCCCO,7.7
isobutylmethyl_ketone,CC(C)CC(C)=O,7.675
deta,CCN(CC)C(=O)c1cccc(C)c1,7.66
2-ethyl-1-hexanol,CCCCC(CC)CO,7.611
cyclohexyl_chloride,ClC1CCCCC1,7.6
methylene_blue,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,7.6
nonanal,CCCCCCCCC=O,7.6
polyethylene_oxide,OCCO,7.6
2-furoylfluoride_tetrahydrofuran,FC(=O)c1occc1.C2CCOC2,7.58
diox,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)[S]([O-])(=O)=O,7.58
tetrahydrofuran,C1CCOC1,7.58
tetrahydrofurane,C1CCOC1,7.58
thf,C1CCOC1,7.58
diethyl_malonate,CCOC(=O)CC(=O)OCC,7.55
cellobiose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,7.5
hfc-134a,FCC(F)(F)F,7.5
triglyme,COCCOCCOCCOC,7.5
cmtd,CCCCCCCCCCCCCCSCC(O)=O,7.49
morpholine,C1COCCN1,7.42
benzotrichloride,ClC(Cl)(Cl)c1ccccc1,7.4
butyl_chloride,CCCCCl,7.39
n-butyl_chloride,CCCCCl,7.39
1-chlorobutane,CCCCCl,7.34
labetalol,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,7.33
1_2-dimethoxy_ethane,COCCOC,7.3
glyme,COCCOC,7.3
1_1_2-trichloroethane,ClCC(Cl)Cl,7.28
ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,7.28
1_1_1-trichloroethane,CC(Cl)(Cl)Cl,7.252
diglyme,COCCOCCOC,7.23
1_1_1-trichloro-ethane,CC(Cl)(Cl)Cl,7.2
1_2-dimethoxyethane,COCCOC,7.2
2-ethylhexanol,CCCCC(CC)CO,7.2
dimethoxyethane,COCCOC,7.2
dme,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,7.2
rubrene,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5c(c6ccccc6)c7ccccc7c(c8ccccc8)c25,7.2
2_6-dimethylpyridine,Cc1cccc(C)n1,7.17
phenylhydrazine,NNc1ccccc1,7.15
dol,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC/C=C\C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C,7.1
3-heptanol,CCCCC(O)CC,7.07
2_6-lutidine,Cc1cccc(C)n1,7
polyurethane,OCCO.OCCCCO.OC(=O)CCCCC(O)=O.O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,7
rso,C1O[C@@H]1c2ccccc2,7
tac,CN(C)C1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)\O)C1=O,7
tannin,Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OC[C@H]3O[C@@H](OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)[C@H](OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)[C@@H](OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)[C@@H]3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10,7
dn,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,6.95
tegdme,COCCOCCOCCOC,6.95
monoglyme,COCCOC,6.913
thioethanol,CCS,6.912
benzyl_dichloride,ClC(Cl)c1ccccc1,6.9
ethyl_sulfide,CCSCC,6.9
phenyl_acetate,CC(=O)Oc1ccccc1,6.9
tcp,Oc1cc(Cl)c(Cl)cc1Cl,6.9
urethane,CCOC(N)=O,6.9
aniline,Nc1ccccc1,6.89
benzyl_chloride,ClCc1ccccc1,6.854
4-methyl-1_3-dioxolane,CC1COCO1,6.8
decanal,CCCCCCCCCC=O,6.8
1-nonanol,CCCCCCCCCO,6.765
methyl_benzoate,COC(=O)c1ccccc1,6.74
1_10-dichlorodecane,ClCCCCCCCCCCCl,6.68
benzoxazine,N1Oc2ccccc2C=C1,6.68
benzyl_bromide,BrCc1ccccc1,6.658
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,6.65
1-chloropentane,CCCCCCl,6.6
gps,N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1[C@@H](O)c2ccccc2c3ccccc13)C(=O)NCC(O)=O)C(O)=O,6.6
glycerol_triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,6.555
lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,6.55
dibutyl_phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,6.47
heptylbenzene,CCCCCCCc1ccccc1,6.445
dbp,CCCCOC(=O)c1ccccc1C(=O)OCCCC,6.4
dpb,c1ccc(cc1)\C=C\C=C\c2ccccc2,6.4
cycloheptane,C1CCCCCC1,6.3255
ethylamine,CCN,6.3
cbs,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,6.25
2-methyltetrahydrofuran,CC1CCCO1,6.24
acetic_acid,CC(O)=O,6.2
aceticacid,CC(O)=O,6.2
c2d,Clc1ccc2scc(CNCCN3C(=CN=C(NCCc4ccccn4)C3=O)Cl)c2c1,6.2
ethanoic_acid,CC(O)=O,6.2
glacial_acetic_acid,CC(O)=O,6.2
methyl_propionate,CCC(=O)OC,6.2
1-iodobutane,CCCCI,6.17
missile,CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C,6.17
tic,[Cl].O=C(Nc1ccc(cc1)C2=NCCN2)c3ccc(cc3)C(=O)Nc4ccc(cc4)C5=NCCN5,6.118
1-chlorohexane,CCCCCCCl,6.1
acetic_ether,CCOC(C)=O,6.1
tricresyl_phosphate,Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,6.1
ch3cooh,CCOO,6.085
methyl_propanoate,CCC(=O)OC,6.0777
dox,[Cl-].COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO.[H+],6.06
ethyl_acetate,CCOC(C)=O,6.02
ethylacetate,CCOC(C)=O,6.02
diethyleneglycol-monobutylether_acetate,CCCCOCCOCCOC(C)=O,6
dimethylacetoacetamide,CC(C)C(=O)CC(N)=O,6
dipentyl_phthalate,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,6
dmc,CC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,6
ethyl_benzoate,CCOC(=O)c1ccccc1,6
gallic_acid,OC(=O)c1cc(O)c(O)c(O)c1,6
cpi,OC(=O)[C@@H]1CCCCN1,5.98
allyl_amine,NCC=C,5.95
isobutyl_benzoate,CC(C)COC(=O)c1ccccc1,5.9
n-allyl-n-methyl-p-nitroaniline,CN(CC=C)c1ccc(cc1)[N+]([O-])=O,5.9
piperidine,C1CCNCC1,5.9
quercetin,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O,5.9
tert-pentyl_alcohol,CCC(C)(C)O,5.82
2-dodecanol,CCCCCCCCCCC(C)O,5.8
diethylene_glycol_dimethyl_ether,COCCOCCOC,5.8
n-propylamine,CCCN,5.8
pada,CN(C)c1ccc(cc1)N=Nc2ccccn2,5.8
diethyl_sulfide,CCSCC,5.72
2-methyl-2-butanol,CCC(C)(C)O,5.705
dodecanol,CCCCCCCCCCCCO,5.7
et,CC[n+]1c2cc(N)ccc2c3ccc(N)cc3c1c4ccccc4,5.7
furan,o1cccc1,5.7
acrylate_glycidyl_methacrylate,CC(=C)C(=O)OCC1CO1.OC(=O)C=C,5.67
tetrahydropyran,C1CCOCC1,5.66
chlorobenzene,Clc1ccccc1,5.621
tropine,CN1C2CCC1CC(O)C2,5.62
iso_amyl_acetate,CC(C)CCOC(C)=O,5.6
tetrahydropyrane,C1CCOCC1,5.6
n-propyl_acetate,CCCOC(C)=O,5.52
propyl_ethanoate,CCCOC(C)=O,5.52
2-decanol,CCCCCCCCC(C)O,5.5
caffeic_acid,OC(=O)\C=C/c1ccc(O)c(O)c1,5.5
dioxane–acetonitrile,N#CCC1COCCO1,5.5
polyacrylonitrile,C=CC#N,5.5
tmba,CC(=O)N(CCCCN)C(C)=O,5.5
methyl_butyrate,CCCC(=O)OC,5.48
fluorobenzene,Fc1ccccc1,5.47
dioxan,C1COCCO1,5.415
bromobenzene,Brc1ccccc1,5.4
butylthioether,CCCCSCCCC,5.4
isoamyl_salicylate,CC(C)CCOC(=O)c1ccccc1O,5.4
isopropylamine,CC(C)N,5.4
phenylacetate,[O-]C(=O)Cc1ccccc1,5.4
1-pentanamine,CCCCCN,5.36
1-undecanol,CCCCCCCCCCCO,5.34
diisopropyl_adipate,CC(C)OC(=O)CCCCC(=O)OC(C)C,5.34
ethyl_phenylacetate,CCOC(=O)Cc1ccccc1,5.3
isoamyl_acetate,CC(C)CCOC(C)=O,5.3
rpa,CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(CO)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/CCCC(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,5.3
glycine,NCC(O)=O,5.2
mbba,CCCCc1ccc(cc1)N=Cc2ccc(OC)cc2,5.2
benzylamine,NCc1ccccc1,5.18
c–c,CC,5.172346
amyl_benzoate,CCCCCOC(=O)c1ccccc1,5.1
butyl_lactate,CCCCOC(=O)C(C)O,5.1
dioctyl_phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.1
dioctylphthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.1
dop,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,5.1
ethyl_butyrate,CCCC(=O)OCC,5.1
thiol–ene,C1CC=[SH]C1,5.1
cyclohexyl_acetate,CC(=O)OC1CCCCC1,5.08
butyl_acetate,CCCCOC(C)=O,5.07
pentyl_benzoate,CCCCCOC(=O)c1ccccc1,5.07
1-chloronaphthalene,Clc1cccc2ccccc12,5.04
isobutyl_acetate,CC(C)COC(C)=O,5.039
ethyl_acryl_ate,CCOC(=O)C=C,5.02
n-butyl_acetate,CCCCOC(C)=O,5.02
ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(O)=O,5.005
1-butylamine,CCCCN,5
acrylate_1_6-hexanediol_diacrylate,OCCCCCCO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,5
ametryn,CCNc1nc(NC(C)C)nc(SC)n1,5
butyl-acetate,CCCCOC(C)=O,5
deha,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,5
dhp,CCCCCCCCCCC1=C(O)NC(=O)C1=O,5
dopp,CCCCCCCCO[P](=O)(OCCCCCCCC)c1ccccc1,5
thz,s1cnc2ccccc12,5
vinyl_acetate,CC(=O)OC=C,5
water-octanol,O.CCCCCCCCO,5
butyl_ethanoate,CCCCOC(C)=O,4.99
1-dodecanol,CCCCCCCCCCCCO,4.965
1-butanamine,CCCCN,4.9
2-furoylfluoride_chloroform,FC(=O)c1occc1.ClC(Cl)Cl,4.9
arlacel_83,CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.9
arylamine,Nc1ccccc1,4.9
bromoethane,CCBr,4.9
span_80,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,4.9
pentyl_cinnamate,CCCCCOC(=O)C=Cc1ccccc1,4.89
butyl_propionate,CCCCOC(=O)CC,4.84
3-phenylpropanal,O=CCCc1ccccc1,4.8
amyl_acetate,CCCCCOC(C)=O,4.8
benzyl_benzoate,O=C(OCc1ccccc1)c2ccccc2,4.8
dbs,Oc1ccc(Br)cc1C(=O)C(=O)c2cc(Br)ccc2O,4.8
tris2-ethylhexylphosphate,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,4.8
taurine,NCC[S](O)(=O)=O,4.78
phenyl_propanoate,CCC(=O)Oc1ccccc1,4.77
atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4,4.76
1_2-dibromoethane,BrCCBr,4.75
cyclohexylamine,NC1CCCCC1,4.73
pentyl_ethanoate,CCCCCOC(C)=O,4.7297
c60,CCCCNC(=O)[C@@H](CC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2[nH]cnc2)NC(=O)[C@H](Cc3ccccc3)C[S](=O)(=O)C(C)(C)C)C(C)C,4.695
1-pentanethiol,CCCCCS,4.67
polysorbate_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,4.67
phenanthrene,c1ccc2c(c1)ccc3ccccc23,4.625
butylamine,CCCCN,4.62
oil_red_o,O=C\1C=Cc2ccccc2C1=N/Nc3ccc(cc3)N=Nc4ccccc4,4.61
iodobenzene,Ic1ccccc1,4.59
1-chloro-n-decane,CCCCCCCCCCCl,4.58
thioanisole,CSc1ccccc1,4.54
2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,4.5
chlorodecane,CCCCCCCCCCCl,4.5
di-octyl_terephthalate,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,4.5
dibutyl_sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.5
dioctyl_terephthalate,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,4.5
tri-n-butyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,4.5
phenyl_butanoate,CCCC(=O)Oc1ccccc1,4.48
isobutylamine,CC(C)CN,4.4
isobutyl_isobutyrate,CC(C)COC(=O)C(C)C,4.39
1-hexanethiol,CCCCCCS,4.34
ethyl_ether,CCOCC,4.34
ethylether,CCOCC,4.34
ether,CCOCC,4.335
tert-butylamine,CC(C)(C)N,4.31
anisol,COc1ccccc1,4.3
anisole,COc1ccccc1,4.3
benzylethylamine,NCCCc1ccccc1,4.3
c2h5–o–c2h5,CCO,4.3
diethyl_ether,CCOCC,4.3
diethylether,CCOCC,4.3
mox,CO[C@](NC(=O)[C@@H](C(O)=O)c1ccc(O)cc1)([C@H]2OCC(=C)C(=N2)C(O)=O)C(O)=O,4.3
phenyl_pentanoate,CCCCC(=O)Oc1ccccc1,4.3
thiophenol,Sc1ccccc1,4.2728
dee,CCOC(=O)c1c(C)[nH]nc1C,4.27
4-vinylphenol,Oc1ccc(C=C)cc1,4.25
c2h5oc2h5,CCO,4.24
di-ethyl_ether,CCOCC,4.24
tcnq,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,4.23
ethyloctanoate,CCCCCCCC(=O)OCC,4.2
tris2-butoxy_ethylphosphate,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,4.2
ethyl_phenyl_ether,CCOc1ccccc1,4.18
acetate,CC([O-])=O,4.17
1-tetradecanol,CCCCCCCCCCCCCCO,4.16
1-heptanethiol,CCCCCCCS,4.11
benzyl_salicylate,Oc1ccccc1C(=O)OCc2ccccc2,4.1
butylhexanoate,CCCCCC(=O)OCCCC,4.1
n-hexylamine,CCCCCCN,4.1
pcb,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.1
sinapic_acid,COc1cc(/C=C/C(O)=O)cc(OC)c1O,4.1
dioctyl_sebacate,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,4.01
dbe,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,4
dibenzylether,C(OCc1ccccc1)c2ccccc2,4
dodecan-4-ol,CCCCCCCCC(O)CCC,4
fluorescein,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,4
premix,[Cl-].C[N+](C)(C)CCCl,4
salvinorin_a,COC(=O)C1CC(OC(C)=O)C(=O)[C@H]2C1(C)CC[C@H]3C(=O)O[C@@H](CC23C)c4cocc4,4
sulfoxide,CCCCCCCC[S](=O)C(C)Cc1ccc2OCOc2c1,4
methylanisole,COc1ccccc1C,3.99
ep,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(C)=C\c3csc(C)n3,3.98
1-octanethiol,CCCCCCCCS,3.95
pema,O.CCC(C(N)=O)(C(N)=O)c1ccccc1,3.925
n-benzyl-2-methyl-4-nitroaniline,Cc1cc(ccc1NCc2ccccc2)[N+]([O-])=O,3.902
doa,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,3.9
dpe,ClC(Cl)(Cl)C(c1ccccc1)c2ccccc2,3.9
isopropyl_ether,CC(C)OC(C)C,3.9
pentacene,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,3.9
tbc,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,3.895
benzyl_ether,C(OCc1ccccc1)c2ccccc2,3.86
isopropylether,CC(C)OC(C)C,3.845
1-decanethiol,CCCCCCCCCCS,3.84
tetraline,C1CCc2ccccc2C1,3.83
dibenzyl_ether,C(OCc1ccccc1)c2ccccc2,3.821
diphenyl_ether,O(c1ccccc1)c2ccccc2,3.813
diisopropylether,CC(C)OC(C)C,3.81
oleyl_alcohol,CCCCCCCC\C=C/CCCCCCCCO,3.8
dio,C1COCCO1,3.75
butyl_phenyl_ether,CCCCOc1ccccc1,3.734
diphenylether,O(c1ccccc1)c2ccccc2,3.73
1-pentadecanol,CCCCCCCCCCCCCCCO,3.72
acrylate_trimethylolpropane_triacrylate,CCC(CO)(CO)CO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,3.71
1-chloro-n-hexadecane,CCCCCCCCCCCCCCCCCl,3.7
di-isopropyl_ether,CC(C)OC(C)C,3.7
epoxy_resin,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(=O)C=C.ClCC3CO3,3.7
tpp,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,3.7
octylamine,CCCCCCCCN,3.69
tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,3.69
badge,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,3.6
butyl_ether,CCCCOCCCC,3.6
diethylamine,CCNCC,3.6
eicosylamine,CCCCCCCCCCCCCCCCCCCCN,3.6
pmda,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,3.6
poly4-vinylphenol,CCc1ccc(O)cc1,3.6
2-propanol–toluene,CC(C)O.Cc1ccccc1,3.59
diisopropyl_ether,CC(C)OC(C)C,3.59
n-octylamine,CCCCCCCCN,3.58
dibromoethane,CC(Br)Br,3.575
1-hexadecanol,CCCCCCCCCCCCCCCCO,3.56
bismaleimide,O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,3.55
1-hexanamine,CCCCCCN,3.53
perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,3.525
dea,OCCNCCO,3.52
2-methylamino-5-chlorobenzophenone,CNc1ccc(Cl)cc1C(=O)c2ccccc2,3.5
acrylonitrile_butadiene_styrene,C=CC=C.C=CC#N.C=Cc1ccccc1,3.5
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,3.5
hydrazide,NNC(=O)c1ccncc1,3.5
lpa,OC(=O)CCCC[C@@H]1CCSS1,3.5
peceol,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO,3.5
pyromellitic_dianhydride,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,3.5
tuftsin,C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(O)=O.CC(O)=O.CC(O)=O,3.5
dibenzylamine,C(NCc1ccccc1)c2ccccc2,3.446
1-heptylamine,CCCCCCCN,3.42
1_1_1_trichloroethane,CC(Cl)(Cl)Cl,3.4
1_1_2-trichloro-ethane,ClCC(Cl)Cl,3.4
behenic_acid,CCCCCCCCCCCCCCCCCCCCCC(O)=O,3.4
labrafil,CCCCCCCCCCCCCCCCCC(O)=O.CCCCCCCCCCCCCCCC(O)=O.OCCOCC(COCCO)OCCO,3.4
naphthalene,c1ccc2ccccc2c1,3.4
trichloroethane,CC(Cl)(Cl)Cl,3.4
din-propyl_ether,CCCOCCC,3.39
2_6-dichlorotoluene,Cc1c(Cl)cccc1Cl,3.36
dipropyl_ether,CCCOCCC,3.34
n-hexane–chloroform,CCCCCC.ClC(Cl)Cl,3.31
1-octanamine,CCCCCCCCN,3.3
diglycidyl_ether_of_bisphenol_a,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,3.3
phenyl_laurate,CCCCCCCCCCCC(=O)Oc1ccccc1,3.28
isopropyl_myristate,CCCCCCCCCCCCCC(=O)OC(C)C,3.245
dpa,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5ccccc25,3.235
glycerol_trioleate,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,3.21
1-propanoic_acid,CCC(O)=O,3.2
chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,3.2
octanethiol,CCCCCCCCS,3.2
phenyl,c1ccccc1,3.2
propanoic_acid,CCC(O)=O,3.2
triolein,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,3.2
apollo,Clc1ccccc1c2nnc(nn2)c3ccccc3Cl,3.18
ma,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3.15
propionic_acid,CCC(O)=O,3.15
di-n-propylamine,CCCNCCC,3.13
glycerol_tripalmitate,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,3.12
dtab,[Br-].CCCCCCCCCCCC[N+](C)(C)C,3.115
dipentyl_ether,CCCCCOCCCCC,3.1
gma,N[C@H](CCC(O)=O)C(N)=O,3.1
oleylamine,CCCCCCCC\C=C/CCCCCCCCN,3.1
planum,CN1C(=O)C(O)N=C(c2ccccc2)c3cc(Cl)ccc13,3.1
polycarbonate,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,3.1
polysulphone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)[S](=O)(=O)c4ccc(O)cc4,3.1
dibutylether,CCCCOCCCC,3.08
ethyl_palmitate,CCCCCCCCCCCCCCCC(=O)OCC,3.07
dibutyl_ether,CCCCOCCCC,3.05
din-butyl_ether,CCCCOCCCC,3.05
fluorene,C1c2ccccc2c3ccccc13,3.05
2-methylimidazole,Cc1[nH]ccn1,3.04
1-heptanoic_acid,CCCCCCC(O)=O,3.03
9-methylanthracene,Cc1c2ccccc2cc3ccccc13,3.02
glycerol_tristearate,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,3.02
dansyl,CN(C)c1cccc2c1cccc2[S](Cl)(=O)=O,3
