MOLECULE_NAME,SMILES,Dielectric_Constant
mono_ethylene_glycol,OCCO,37.7
dmi,CNCCCN1c2ccccc2CCc3ccccc13,37.6
acetonitril,CC#N,37.5
ethanenitrile,CC#N,37.5
mecn,CC#N,37.5
lys,NCCCCC(N)C(O)=O,37.45
edta,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,37.2
ch3cn,CCN,37
glutaronitrile,N#CCCCC#N,37
triethyleneglycol,OCCOCCOCCO,36.7
acetonitrile,CC#N,36.64
acn,CC#N,36.64
dmpu,OCN1CCCN(CO)C1=O,36.1
sec-butylammonium_thiocyanate,CCC(C)[NH3+].[S-]C#N,36.1
cyclohexane_acetone,CC(C)=O.C1CCCCC1,36.001
3-methoxy-propionitrile,COCCC#N,36
3-methoxypropionitrile,COCCC#N,36
abts,[NH4+].[NH4+].CCN1/C(Sc2cc(ccc12)[S]([O-])(=O)=O)=N/N=C/3Sc4cc(ccc4N3CC)[S]([O-])(=O)=O,36
cetylpyridinium_chloride,[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,36
citric_acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,36
gga,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,36
methoxyacetonitrile,COCC#N,36
1_4-dihydroxy-2-butanone,OCCC(=O)CO,35.59
1_3-propanediol,OCCCO,35
4am,CC(=O)N[C@@H]1[C@@H](N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,35
nitrobenzene,[O-][N+](=O)c1ccccc1,34.8
propane-1_3-diol,OCCCO,34.69
1-naphthol,Oc1cccc2ccccc12,34.31
ethylammonium_formate,CC[NH3+].[O-]C=O,34.14
1_2_3-butanetriol,CC(O)C(O)CO,34.1
diglycerol,OCC(O)COCC(O)CO,34
butylammonium_thiocyanate,CCCC[NH3+].[S-]C#N,33.9
2-pyrrolidon,O=C1CCCN1,33.7
1_3-propylene_glycol,OCCCO,33.68
1-methylimidazole,Cn1ccnc1,33.4
1_3_5-pentanetriol,OCCC(O)CCO,33.36
acrylonitrile,C=CC#N,33
ethylene_glycol–methanol,CO.OCCO,33
meth,[H+].[Cl-].CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,32.7
n-methyl-2-pyrrolidinone,CN1CCCC1=O,32.7
2-furoylfluoride_methanol,CO.FC(=O)c1occc1,32.63
n-methyl-2-pyrrolidone,CN1CCCC1=O,32.2
n-methyl-pyrrolidone,CN1CCCC1=O,32.2
n-methyl_pyrrolidone,CN1CCCC1=O,32.2
n-methylpyrrolidone,CN1CCCC1=O,32.1
1-methyl-2-pyrrolidinone,CN1CCCC1=O,32
n-methylpyrrolidinone,CN1CCCC1=O,32
propanediol,CCC(O)O,32
propylene_glycol,CC(O)CO,32
butane-1_4-diol,OCCCCO,31.82
dma,CC(C)=CCO[P](O)(=O)O[P](O)(O)=O,31.7675
diethylene_glycol,OCCOCCO,31.7
diethyleneglycol,OCCOCCO,31.7
deg,OCCOCCO,31.69
1_4-butanediol,OCCCCO,31.4
dmpg,CCCCCCCCCCCCCC(=O)OCC(CO[P](O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCCCCC,30.6
butanediol,CCCC(O)O,30.2
1_2-butanediol,CCC(O)CO,30
adiponitrile,N#CCCCCC#N,30
and,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,30
zst,OC(=O)CC1=NN(Cc2sc3ccc(cc3n2)C(F)(F)F)C(=O)c4ccccc14,29.8
1_2-propanediol,CC(O)CO,29.75
propanenitrile,CCC#N,29.32
propanonitrile,CCC#N,29.15
tes,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,29
butane-1_3-diol,CC(O)CCO,28.83
1_3-butanediol,CC(O)CCO,28.745
2ap,Nc1cccc[nH+]1,28.605
propane-1_2-diol,CC(O)CO,28.36
ethyl_cyanide,CCC#N,28.3
propionitrile,CCC#N,28.26
nitroethanol,CC(O)[N+]([O-])=O,28.06
nitroethane,CC[N+]([O-])=O,28
propiononitrile,CCC#N,27.2
pentane-1_5-diol,OCCCCCO,26.9
dehydrated_alcohol,CCO,26.8
2_2_2-trifluoroethanol,OCC(F)(F)F,26.726
tfe,OCC(F)(F)F,26.7
cf3ch2oh,OCC(F)(F)F,26.1
ch3och2ch2oh,COCCO,25.84
2-chloroethanol,OCCCl,25.8
2-nitropropane,CC(C)[N+]([O-])=O,25.7
acetylacetone,CC(=O)CC(C)=O,25.7
alcohol,CCO,25.7
2oh,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,25.3
benzonitrile,N#Cc1ccccc1,25.2
2-mbt,S=C1Nc2ccccc2S1,25
methanol-toluene,CO.Cc1ccccc1,25
methyl_oleate,CCCCCCCC\C=C/CCCCCCCC(=O)OC,25
water-tert-butanol,O.CC(C)(C)O,25
water-tetrahydrofuran,O.C1CCOC1,25
butyronitrile,CCCC#N,24.8
dcs,Cc1ncc(CO[P](O)(O)=O)c(CN[C@@H]2CONC2=O)c1O,24.8
2-furoylfluoride_ethanol,CCO.FC(=O)c1occc1,24.55
c2h5oh,CCO,24.55
ch3ch2oh,CCO,24.55
curcumin,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,24.5
ethanol,CCO,24.5
ethyl_alcohol,CCO,24.5
etoh,CCO,24.5
ch3ch2–oh,CCO,24.3
butanenitrile,CCCC#N,24.29
n-propyl_cyanide,CCCC#N,24.2
2-nitrophenyl_octyl_ether,CCCCCCCCOc1ccccc1[N+]([O-])=O,24
2-nitrophenyl_octylether,CCCCCCCCOc1ccccc1[N+]([O-])=O,24
2-nitrophenyl_pentylether,CCCCCOc1ccccc1[N+]([O-])=O,24
ate,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2,24
epa,CC/C=C\C\C=C/C/C=C\C\C=C/C/C=C\CCCC(O)=O,24
pyridine_nitrogen,[NH2].c1ccncc1,24
tbph,[OH-].CCCC[P+](CCCC)(CCCC)CCCC,24
triethylene_glycol,OCCOCCOCCO,23.7
nitropropane,CCC[N+]([O-])=O,23.2
o-fluoropyridine,Fc1ccccn1,23.2
benzyl_cyanide,N#CCc1ccccc1,22.85
benzoyl_fluoride,FC(=O)c1ccccc1,22.7
2-furoylfluoride,FC(=O)c1occc1,22.625
ech,ClCC1CO1,22.6
butane-1_2-diol,CCC(O)CO,22.57
acan,CC(=O)CCC(C)=O,22.45
3-nitrotoluene,Cc1cccc(c1)[N+]([O-])=O,22.2
pyrite,[O-]CC1OC=CC=C1,21.52
2_3-butanediol,CC(O)C(C)O,21.497
[iso-leucine],CC[C@H](C)[C@H](N)C(O)=O,21.43
dmk,CC(C)([C@H](N)C(O)=O)C(O)=O,21.01
acetaldehyde,CC=O,21
acetic_anhydride,CC(=O)OC(C)=O,21
aco,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,21
allyl_alcohol,OCC=C,21
dipropylene_glycol,CC(O)COC(C)CO,21
flavin,[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,21
griseofulvin,COC1CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,21
propanone,CC(C)=O,21
butane-2_3-diol,CC(O)C(C)O,20.88
n-propyl_alcohol,CCCO,20.81
dimethyl_ketone,CC(C)=O,20.72
2-furoylfluoride_acetone,CC(C)=O.FC(=O)c1occc1,20.7
2-propanone,CC(C)=O,20.7
acetone,CC(C)=O,20.7
isopropanal,CC(C)=O,20.6
isobutyronitrile,CC(C)C#N,20.4
n-butyronitrile,CCCC#N,20.4
propan-1-ol,CCCO,20.3
propanol,CCCO,20.3
triethanolamine,OCCN(CCO)CCO,20.26
cst,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)[C@@H]2CCN=C(N)N2)C(=O)N[C@@H](Cc3ccccc3)C([O-])=O,20.25
ioh,CC(C)O,20.18
indole,[nH]1ccc2ccccc12,20.13
