MOLECULE_NAME,SMILES,logEpsilon_minus_1
1_2_3-triazole,[nH]1ccnn1,1.596597096
tetraethyleneglycol,OCCOCCOCCOCCO,1.593286067
meg,[Br-].NC([NH3+])=NCCS,1.591621038
1-butyl-3-methylimidazolium,CCCC[n+]1ccn(C)c1,1.591064607
stilbene,c1ccc(cc1)C=Cc2ccccc2,1.591064607
butyrolactone,O=C1CCCO1,1.590841835
gbl,O=C1CCCO1,1.579783597
ethane-1_2_diol,OCCO,1.575880316
ethyleneglycol,OCCO,1.572116156
1_2-ethanediol,OCCO,1.564666064
ethylene_glycol,OCCO,1.564666064
mono_ethylene_glycol,OCCO,1.564666064
dmi,CNCCCN1c2ccccc2CCc3ccccc13,1.563481085
acetonitril,CC#N,1.562292864
ethanenitrile,CC#N,1.562292864
mecn,CC#N,1.562292864
lys,NCCCCC(N)C(O)=O,1.561697533
edta,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1.558708571
ch3cn,CCN,1.556302501
glutaronitrile,N#CCCCC#N,1.556302501
triethyleneglycol,OCCOCCOCCO,1.552668216
acetonitrile,CC#N,1.551937695
acn,CC#N,1.551937695
dmpu,OCN1CCCN(CO)C1=O,1.545307116
sec-butylammonium_thiocyanate,CCC(C)[NH3+].[S-]C#N,1.545307116
cyclohexane_acetone,CC(C)=O.C1CCCCC1,1.544080453
3-methoxy-propionitrile,COCCC#N,1.544068044
3-methoxypropionitrile,COCCC#N,1.544068044
abts,[NH4+].[NH4+].CCN1/C(Sc2cc(ccc12)[S]([O-])(=O)=O)=N/N=C/3Sc4cc(ccc4N3CC)[S]([O-])(=O)=O,1.544068044
cetylpyridinium_chloride,[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,1.544068044
citric_acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,1.544068044
gga,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,1.544068044
methoxyacetonitrile,COCC#N,1.544068044
1_4-dihydroxy-2-butanone,OCCC(=O)CO,1.538950562
1_3-propanediol,OCCCO,1.531478917
4am,CC(=O)N[C@@H]1[C@@H](N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,1.531478917
nitrobenzene,[O-][N+](=O)c1ccccc1,1.5289167
propane-1_3-diol,OCCCO,1.527501011
1-naphthol,Oc1cccc2ccccc12,1.522574633
ethylammonium_formate,CC[NH3+].[O-]C=O,1.520352504
1_2_3-butanetriol,CC(O)C(O)CO,1.519827994
diglycerol,OCC(O)COCC(O)CO,1.51851394
butylammonium_thiocyanate,CCCC[NH3+].[S-]C#N,1.517195898
2-pyrrolidon,O=C1CCCN1,1.514547753
1_3-propylene_glycol,OCCCO,1.514282048
1-methylimidazole,Cn1ccnc1,1.51054501
1_3_5-pentanetriol,OCCC(O)CCO,1.510008513
acrylonitrile,C=CC#N,1.505149978
ethylene_glycol–methanol,CO.OCCO,1.505149978
meth,[H+].[Cl-].CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,1.501059262
n-methyl-2-pyrrolidinone,CN1CCCC1=O,1.501059262
2-furoylfluoride_methanol,CO.FC(=O)c1occc1,1.500099192
n-methyl-2-pyrrolidone,CN1CCCC1=O,1.494154594
n-methyl-pyrrolidone,CN1CCCC1=O,1.494154594
n-methyl_pyrrolidone,CN1CCCC1=O,1.494154594
n-methylpyrrolidone,CN1CCCC1=O,1.492760389
1-methyl-2-pyrrolidinone,CN1CCCC1=O,1.491361694
n-methylpyrrolidinone,CN1CCCC1=O,1.491361694
propanediol,CCC(O)O,1.491361694
propylene_glycol,CC(O)CO,1.491361694
butane-1_4-diol,OCCCCO,1.488832634
dma,CC(C)=CCO[P](O)(=O)O[P](O)(O)=O,1.488092209
diethylene_glycol,OCCOCCO,1.487138375
diethyleneglycol,OCCOCCO,1.487138375
deg,OCCOCCO,1.486996888
1_4-butanediol,OCCCCO,1.482873584
dmpg,CCCCCCCCCCCCCC(=O)OCC(CO[P](O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCCCCC,1.471291711
butanediol,CCCC(O)O,1.465382851
1_2-butanediol,CCC(O)CO,1.462397998
adiponitrile,N#CCCCCC#N,1.462397998
and,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,1.462397998
zst,OC(=O)CC1=NN(Cc2sc3ccc(cc3n2)C(F)(F)F)C(=O)c4ccccc14,1.459392488
1_2-propanediol,CC(O)CO,1.458637849
propanenitrile,CCC#N,1.452093249
propanonitrile,CCC#N,1.449478399
tes,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,1.447158031
butane-1_3-diol,CC(O)CCO,1.444513206
1_3-butanediol,CC(O)CCO,1.443184729
2ap,Nc1cccc[nH+]1,1.440987751
propane-1_2-diol,CC(O)CO,1.437116093
ethyl_cyanide,CCC#N,1.436162647
propionitrile,CCC#N,1.435525851
nitroethanol,CC(O)[N+]([O-])=O,1.432327792
nitroethane,CC[N+]([O-])=O,1.431363764
propiononitrile,CCC#N,1.418301291
pentane-1_5-diol,OCCCCCO,1.413299764
dehydrated_alcohol,CCO,1.411619706
2_2_2-trifluoroethanol,OCC(F)(F)F,1.410372265
tfe,OCC(F)(F)F,1.409933123
cf3ch2oh,OCC(F)(F)F,1.399673721
ch3och2ch2oh,COCCO,1.395151592
2-chloroethanol,OCCCl,1.394451681
2-nitropropane,CC(C)[N+]([O-])=O,1.392696953
acetylacetone,CC(=O)CC(C)=O,1.392696953
alcohol,CCO,1.392696953
2oh,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,1.385606274
benzonitrile,N#Cc1ccccc1,1.383815366
2-mbt,S=C1Nc2ccccc2S1,1.380211242
methanol-toluene,CO.Cc1ccccc1,1.380211242
methyl_oleate,CCCCCCCC\C=C/CCCCCCCC(=O)OC,1.380211242
water-tert-butanol,O.CC(C)(C)O,1.380211242
water-tetrahydrofuran,O.C1CCOC1,1.380211242
butyronitrile,CCCC#N,1.376576957
dcs,Cc1ncc(CO[P](O)(O)=O)c(CN[C@@H]2CONC2=O)c1O,1.376576957
2-furoylfluoride_ethanol,CCO.FC(=O)c1occc1,1.371990911
