MOLECULE_NAME,SMILES,logEpsilon
dichloroethane,CC(Cl)Cl,1.016197354
3-methylbutan-2-one,CC(C)C(C)=O,1.015778756
2-furoylfluoride_dichloroethane,CC(Cl)Cl.FC(=O)c1occc1,1.015359755
ch2c1ch2c1,C.CCC,1.015359755
des,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,1.01494035
1-octanol,CCCCCCCCO,1.012837225
dichloro_methane,ClCCl,1.012837225
n-octanol,CCCCCCCCO,1.012837225
octanol,CCCCCCCCO,1.012837225
3-phenylpropanol,OCCCc1ccccc1,1.010723865
butyl_carbitol,CCCCOCCOCCO,1.008600172
ethylene_chloride,ClCCCl,1.008600172
dcb,Clc1ccccc1Cl,1.006252051
2-dichlorobenzene,Clc1ccccc1Cl,1.005180513
1_1-dichloroethane,CC(Cl)Cl,1
2-naphthol,Oc1ccc2ccccc2c1,1
ammonium_salicylate,[NH4+].Oc1ccccc1C([O-])=O,1
blue_line,[H+].[Cl-].CN(C)CCN(Cc1sccc1)c2ccccn2,1
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1
ctma,CONC(=O)COc1ccc(Cl)cc1C,1
mlm,NC(=O)CC(O)=O,1
pentanal,CCCCC=O,1
pteridine,c1cnc2ncncc2n1,1
quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,1
thip,O=C1NOC2=C1CCNC2,1
tpq,N[C@@H](CC1=CC(=O)C(=O)C=C1O)C([O-])=O,1
odcb,Clc1ccccc1Cl,0.999565488
o-dichlorobenzene,Clc1ccccc1Cl,0.999130541
1_2-dichlorobenzene,Clc1ccccc1Cl,0.996949248
2-chloro-2-methylpropane,CC(C)(C)Cl,0.995635195
dichlorobenzene,Clc1ccccc1Cl,0.995635195
nylon_66,CCCCCCNC(=O)CCCCC(N)=O,0.994031049
pnp,Oc1ccc(cc1)[N+]([O-])=O,0.991226076
polyepichlorohydrin,O\C=C/CCl,0.991226076
2-heptanol,CCCCCC(C)O,0.987666265
dca,CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23,0.982271233
gsh,NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O,0.982271233
2-butoxyethanol,CCCCOCCO,0.977723605
hexanal,CCCCCC=O,0.977723605
2-methylpyridine,Cc1ccccn1,0.975891136
tert-butyl_chloride,CC(C)(C)Cl,0.975891136
2_4-dimethylpyridine,Cc1ccnc(C)c1,0.974050903
3_4-dichlorotoluene,Cc1ccc(Cl)c(Cl)c1,0.972665592
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.971739591
phenol_red,Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,0.964966375
benzotrifluoride,FC(F)(F)c1ccccc1,0.963787827
mc,Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25,0.959041392
methylene_chloride,ClCCl,0.958085849
quinoline,c1ccc2ncccc2c1,0.958085849
azo,CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2,0.954242509
methyl_salicylate,COC(=O)c1ccccc1O,0.954242509
tco,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,0.954242509
phenyl_isocyanate,O=C=Nc1ccccc1,0.951337519
ace,CC(N)=O,0.950851459
dichloromethane,ClCCl,0.950851459
methylene_dichloride,ClCCl,0.950851459
dichloro-methane,ClCCl,0.949390007
nonan-1-ol,CCCCCCCCCO,0.945960704
nonanol,CCCCCCCCCO,0.945960704
dch,C1CCC(CC1)NC2CCCCC2,0.944482672
dppc,Cl[P](=O)(Oc1ccccc1)Oc2ccccc2,0.944482672
decan-1-ol,CCCCCCCCCCO,0.942008053
stearic_acid,CCCCCCCCCCCCCCCCCC(O)=O,0.942008053
tbep,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,0.939519253
dimethyl_phthalate,COC(=O)c1ccccc1C(=O)OC,0.937517892
p-cresol,Cc1ccc(O)cc1,0.937016107
tetrahydrothiophene,C1CCSC1,0.935003151
1_6-dichlorohexane,ClCCCCCCCl,0.934498451
dmp,[H+].[H+].[Cl-].[Cl-].COC(=N)CCCCCC(=N)OC,0.934498451
octanal,CCCCCCCC=O,0.934498451
1-chloro-n-propane,CCCCl,0.933993164
4-cyano-4-pentylbiphenyl,CCCCCC1(CC=C(C=C1)c2ccccc2)C#N,0.933487288
ethyl_formate,CCOC=O,0.932980822
2_2-dimethyl-1-propanol,CC(C)(C)CO,0.921686475
2-ethoxyethyl_acetate,CCOCCOC(C)=O,0.919078092
5-nonanone,CCCCC(=O)CCCC,0.919078092
pgmea,COCC(C)OC(C)=O,0.919078092
propylene_glycol_monomethyl_ether_acetate,COCC(C)OC(C)=O,0.919078092
2-octanol,CCCCCCC(C)O,0.913813852
tributyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,0.912652417
tributylphosphate,CCCCO[P](=O)(OCCCC)OCCCC,0.912652417
2-chlorobutane,CCC(C)Cl,0.91041094
6-undecanone,CCCCCC(=O)CCCCC,0.903089987
decanol,CCCCCCCCCCO,0.903089987
polypyrrole,[NH2+]1C=CC=C1,0.903089987
pyrrole,[nH]1cccc1,0.903089987
tbp,CCCCO[P](=O)(OCCCC)OCCCC,0.903089987
hcfc-141b,CC(F)(Cl)Cl,0.897627091
n-decanol,CCCCCCCCCCO,0.897627091
tetraglyme,COCCOCCOCCOCCOC,0.897627091
diethylmalonate,CCC(CC)(C([O-])=O)C([O-])=O,0.895974732
diethyl_phthalate,CCOC(=O)c1ccccc1C(=O)OCC,0.895422546
tetrachloroethane,ClCC(Cl)(Cl)Cl,0.894869657
ehma,CCOc1cc(ccc1O)C(O)C(O)=O,0.892094603
1-decanol,CCCCCCCCCCO,0.886490725
isobutylmethyl_ketone,CC(C)CC(C)=O,0.885078384
deta,CCN(CC)C(=O)c1cccc(C)c1,0.88422877
2-ethyl-1-hexanol,CCCCC(CC)CO,0.881441722
cyclohexyl_chloride,ClC1CCCCC1,0.880813592
methylene_blue,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,0.880813592
nonanal,CCCCCCCCC=O,0.880813592
polyethylene_oxide,OCCO,0.880813592
2-furoylfluoride_tetrahydrofuran,FC(=O)c1occc1.C2CCOC2,0.879669206
diox,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)[S]([O-])(=O)=O,0.879669206
tetrahydrofuran,C1CCOC1,0.879669206
tetrahydrofurane,C1CCOC1,0.879669206
thf,C1CCOC1,0.879669206
diethyl_malonate,CCOC(=O)CC(=O)OCC,0.877946952
cellobiose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.875061263
hfc-134a,FCC(F)(F)F,0.875061263
triglyme,COCCOCCOCCOC,0.875061263
cmtd,CCCCCCCCCCCCCCSCC(O)=O,0.874481818
morpholine,C1COCCN1,0.870403905
benzotrichloride,ClC(Cl)(Cl)c1ccccc1,0.86923172
butyl_chloride,CCCCCl,0.868644438
n-butyl_chloride,CCCCCl,0.868644438
1-chlorobutane,CCCCCl,0.86569606
labetalol,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,0.865103975
1_2-dimethoxy_ethane,COCCOC,0.86332286
glyme,COCCOC,0.86332286
1_1_2-trichloroethane,ClCC(Cl)Cl,0.862131379
ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,0.862131379
1_1_1-trichloroethane,CC(Cl)(Cl)Cl,0.860457795
diglyme,COCCOCCOC,0.859138297
1_1_1-trichloro-ethane,CC(Cl)(Cl)Cl,0.857332496
1_2-dimethoxyethane,COCCOC,0.857332496
2-ethylhexanol,CCCCC(CC)CO,0.857332496
dimethoxyethane,COCCOC,0.857332496
dme,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.857332496
rubrene,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5c(c6ccccc6)c7ccccc7c(c8ccccc8)c25,0.857332496
2_6-dimethylpyridine,Cc1cccc(C)n1,0.855519156
phenylhydrazine,NNc1ccccc1,0.854306042
dol,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC/C=C\C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C,0.851258349
3-heptanol,CCCCC(O)CC,0.849419414
2_6-lutidine,Cc1cccc(C)n1,0.84509804
polyurethane,OCCO.OCCCCO.OC(=O)CCCCC(O)=O.O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,0.84509804
rso,C1O[C@@H]1c2ccccc2,0.84509804
tac,CN(C)C1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)\O)C1=O,0.84509804
tannin,Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OC[C@H]3O[C@@H](OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)[C@H](OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)[C@@H](OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)[C@@H]3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10,0.84509804
dn,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.841984805
tegdme,COCCOCCOCCOC,0.841984805
monoglyme,COCCOC,0.839666557
thioethanol,CCS,0.839603729
benzyl_dichloride,ClC(Cl)c1ccccc1,0.838849091
ethyl_sulfide,CCSCC,0.838849091
phenyl_acetate,CC(=O)Oc1ccccc1,0.838849091
tcp,Oc1cc(Cl)c(Cl)cc1Cl,0.838849091
urethane,CCOC(N)=O,0.838849091
aniline,Nc1ccccc1,0.838219222
benzyl_chloride,ClCc1ccccc1,0.8359441
4-methyl-1_3-dioxolane,CC1COCO1,0.832508913
decanal,CCCCCCCCCC=O,0.832508913
1-nonanol,CCCCCCCCCO,0.830267801
methyl_benzoate,COC(=O)c1ccccc1,0.828659897
1_10-dichlorodecane,ClCCCCCCCCCCCl,0.824776462
benzoxazine,N1Oc2ccccc2C=C1,0.824776462
benzyl_bromide,BrCc1ccccc1,0.823343791
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,0.822821645
1-chloropentane,CCCCCCl,0.819543936
gps,N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1[C@@H](O)c2ccccc2c3ccccc13)C(=O)NCC(O)=O)C(O)=O,0.819543936
glycerol_triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,0.816572696
lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.8162413
dibutyl_phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.810904281
heptylbenzene,CCCCCCCc1ccccc1,0.809222922
dbp,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.806179974
dpb,c1ccc(cc1)\C=C\C=C\c2ccccc2,0.806179974
cycloheptane,C1CCCCCC1,0.80109486
ethylamine,CCN,0.799340549
cbs,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O,0.795880017
2-methyltetrahydrofuran,CC1CCCO1,0.79518459
acetic_acid,CC(O)=O,0.792391689
aceticacid,CC(O)=O,0.792391689
c2d,Clc1ccc2scc(CNCCN3C(=CN=C(NCCc4ccccn4)C3=O)Cl)c2c1,0.792391689
ethanoic_acid,CC(O)=O,0.792391689
glacial_acetic_acid,CC(O)=O,0.792391689
methyl_propionate,CCC(=O)OC,0.792391689
1-iodobutane,CCCCI,0.790285164
missile,CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C,0.790285164
tic,[Cl].O=C(Nc1ccc(cc1)C2=NCCN2)c3ccc(cc3)C(=O)Nc4ccc(cc4)C5=NCCN5,0.786609473
1-chlorohexane,CCCCCCCl,0.785329835
acetic_ether,CCOC(C)=O,0.785329835
tricresyl_phosphate,Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,0.785329835
ch3cooh,CCOO,0.784260583
methyl_propanoate,CCC(=O)OC,0.783739259
dox,[Cl-].COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO.[H+],0.782472624
ethyl_acetate,CCOC(C)=O,0.779596491
ethylacetate,CCOC(C)=O,0.779596491
diethyleneglycol-monobutylether_acetate,CCCCOCCOCCOC(C)=O,0.77815125
dimethylacetoacetamide,CC(C)C(=O)CC(N)=O,0.77815125
dipentyl_phthalate,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,0.77815125
dmc,CC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,0.77815125
ethyl_benzoate,CCOC(=O)c1ccccc1,0.77815125
gallic_acid,OC(=O)c1cc(O)c(O)c(O)c1,0.77815125
cpi,OC(=O)[C@@H]1CCCCN1,0.776701184
allyl_amine,NCC=C,0.774516966
isobutyl_benzoate,CC(C)COC(=O)c1ccccc1,0.770852012
n-allyl-n-methyl-p-nitroaniline,CN(CC=C)c1ccc(cc1)[N+]([O-])=O,0.770852012
piperidine,C1CCNCC1,0.770852012
quercetin,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O,0.770852012
tert-pentyl_alcohol,CCC(C)(C)O,0.764922985
2-dodecanol,CCCCCCCCCCC(C)O,0.763427994
diethylene_glycol_dimethyl_ether,COCCOCCOC,0.763427994
n-propylamine,CCCN,0.763427994
pada,CN(C)c1ccc(cc1)N=Nc2ccccn2,0.763427994
diethyl_sulfide,CCSCC,0.757396029
2-methyl-2-butanol,CCC(C)(C)O,0.756255649
dodecanol,CCCCCCCCCCCCO,0.755874856
et,CC[n+]1c2cc(N)ccc2c3ccc(N)cc3c1c4ccccc4,0.755874856
furan,o1cccc1,0.755874856
acrylate_glycidyl_methacrylate,CC(=C)C(=O)OCC1CO1.OC(=O)C=C,0.753583059
tetrahydropyran,C1CCOCC1,0.752816431
chlorobenzene,Clc1ccccc1,0.749813585
tropine,CN1C2CCC1CC(O)C2,0.749736316
iso_amyl_acetate,CC(C)CCOC(C)=O,0.748188027
tetrahydropyrane,C1CCOCC1,0.748188027
n-propyl_acetate,CCCOC(C)=O,0.741939078
propyl_ethanoate,CCCOC(C)=O,0.741939078
2-decanol,CCCCCCCCC(C)O,0.740362689
caffeic_acid,OC(=O)\C=C/c1ccc(O)c(O)c1,0.740362689
dioxane–acetonitrile,N#CCC1COCCO1,0.740362689
polyacrylonitrile,C=CC#N,0.740362689
tmba,CC(=O)N(CCCCN)C(C)=O,0.740362689
methyl_butyrate,CCCC(=O)OC,0.738780558
fluorobenzene,Fc1ccccc1,0.737987326
dioxan,C1COCCO1,0.733598461
bromobenzene,Brc1ccccc1,0.73239376
butylthioether,CCCCSCCCC,0.73239376
isoamyl_salicylate,CC(C)CCOC(=O)c1ccccc1O,0.73239376
isopropylamine,CC(C)N,0.73239376
phenylacetate,[O-]C(=O)Cc1ccccc1,0.73239376
1-pentanamine,CCCCCN,0.72916479
1-undecanol,CCCCCCCCCCCO,0.727541257
diisopropyl_adipate,CC(C)OC(=O)CCCCC(=O)OC(C)C,0.727541257
ethyl_phenylacetate,CCOC(=O)Cc1ccccc1,0.72427587
isoamyl_acetate,CC(C)CCOC(C)=O,0.72427587
rpa,CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(CO)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/CCCC(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.72427587
glycine,NCC(O)=O,0.716003344
mbba,CCCCc1ccc(cc1)N=Cc2ccc(OC)cc2,0.716003344
benzylamine,NCc1ccccc1,0.71432976
c–c,CC,0.713687569
amyl_benzoate,CCCCCOC(=O)c1ccccc1,0.707570176
butyl_lactate,CCCCOC(=O)C(C)O,0.707570176
dioctyl_phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.707570176
dioctylphthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.707570176
dop,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0.707570176
ethyl_butyrate,CCCC(=O)OCC,0.707570176
thiol–ene,C1CC=[SH]C1,0.707570176
cyclohexyl_acetate,CC(=O)OC1CCCCC1,0.705863712
butyl_acetate,CCCCOC(C)=O,0.705007959
pentyl_benzoate,CCCCCOC(=O)c1ccccc1,0.705007959
1-chloronaphthalene,Clc1cccc2ccccc12,0.702430536
isobutyl_acetate,CC(C)COC(C)=O,0.702344358
ethyl_acryl_ate,CCOC(=O)C=C,0.700703717
n-butyl_acetate,CCCCOC(C)=O,0.700703717
ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.699404082
1-butylamine,CCCCN,0.698970004
acrylate_1_6-hexanediol_diacrylate,OCCCCCCO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,0.698970004
ametryn,CCNc1nc(NC(C)C)nc(SC)n1,0.698970004
butyl-acetate,CCCCOC(C)=O,0.698970004
deha,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.698970004
dhp,CCCCCCCCCCC1=C(O)NC(=O)C1=O,0.698970004
dopp,CCCCCCCCO[P](=O)(OCCCCCCCC)c1ccccc1,0.698970004
thz,s1cnc2ccccc12,0.698970004
vinyl_acetate,CC(=O)OC=C,0.698970004
water-octanol,O.CCCCCCCCO,0.698970004
butyl_ethanoate,CCCCOC(C)=O,0.698100546
1-dodecanol,CCCCCCCCCCCCO,0.695919253
1-butanamine,CCCCN,0.69019608
2-furoylfluoride_chloroform,FC(=O)c1occc1.ClC(Cl)Cl,0.69019608
arlacel_83,CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.69019608
arylamine,Nc1ccccc1,0.69019608
bromoethane,CCBr,0.69019608
span_80,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,0.69019608
pentyl_cinnamate,CCCCCOC(=O)C=Cc1ccccc1,0.689308859
butyl_propionate,CCCCOC(=O)CC,0.684845362
3-phenylpropanal,O=CCCc1ccccc1,0.681241237
amyl_acetate,CCCCCOC(C)=O,0.681241237
benzyl_benzoate,O=C(OCc1ccccc1)c2ccccc2,0.681241237
dbs,Oc1ccc(Br)cc1C(=O)C(=O)c2cc(Br)ccc2O,0.681241237
tris2-ethylhexylphosphate,CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC,0.681241237
taurine,NCC[S](O)(=O)=O,0.679427897
phenyl_propanoate,CCC(=O)Oc1ccccc1,0.678518379
atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4,0.677606953
1_2-dibromoethane,BrCCBr,0.67669361
cyclohexylamine,NC1CCCCC1,0.674861141
pentyl_ethanoate,CCCCCOC(C)=O,0.674833595
c60,CCCCNC(=O)[C@@H](CC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2[nH]cnc2)NC(=O)[C@H](Cc3ccccc3)C[S](=O)(=O)C(C)(C)C)C(C)C,0.671635597
1-pentanethiol,CCCCCS,0.669316881
polysorbate_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0.669316881
phenanthrene,c1ccc2c(c1)ccc3ccccc23,0.665111737
butylamine,CCCCN,0.664641976
oil_red_o,O=C\1C=Cc2ccccc2C1=N/Nc3ccc(cc3)N=Nc4ccccc4,0.663700925
iodobenzene,Ic1ccccc1,0.661812686
1-chloro-n-decane,CCCCCCCCCCCl,0.660865478
thioanisole,CSc1ccccc1,0.657055853
2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,0.653212514
chlorodecane,CCCCCCCCCCCl,0.653212514
di-octyl_terephthalate,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,0.653212514
dibutyl_sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,0.653212514
dioctyl_terephthalate,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,0.653212514
tri-n-butyl_phosphate,CCCCO[P](=O)(OCCCC)OCCCC,0.653212514
phenyl_butanoate,CCCC(=O)Oc1ccccc1,0.651278014
isobutylamine,CC(C)CN,0.643452676
isobutyl_isobutyrate,CC(C)COC(=O)C(C)C,0.64246452
1-hexanethiol,CCCCCCS,0.63748973
ethyl_ether,CCOCC,0.63748973
ethylether,CCOCC,0.63748973
ether,CCOCC,0.636989102
tert-butylamine,CC(C)(C)N,0.63447727
anisol,COc1ccccc1,0.633468456
anisole,COc1ccccc1,0.633468456
benzylethylamine,NCCCc1ccccc1,0.633468456
c2h5–o–c2h5,CCO,0.633468456
diethyl_ether,CCOCC,0.633468456
diethylether,CCOCC,0.633468456
mox,CO[C@](NC(=O)[C@@H](C(O)=O)c1ccc(O)cc1)([C@H]2OCC(=C)C(=N2)C(O)=O)C(O)=O,0.633468456
phenyl_pentanoate,CCCCC(=O)Oc1ccccc1,0.633468456
thiophenol,Sc1ccccc1,0.630712565
dee,CCOC(=O)c1c(C)[nH]nc1C,0.630427875
4-vinylphenol,Oc1ccc(C=C)cc1,0.62838893
c2h5oc2h5,CCO,0.627365857
di-ethyl_ether,CCOCC,0.627365857
tcnq,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,0.626340367
ethyloctanoate,CCCCCCCC(=O)OCC,0.62324929
tris2-butoxy_ethylphosphate,CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,0.62324929
ethyl_phenyl_ether,CCOc1ccccc1,0.621176282
acetate,CC([O-])=O,0.620136055
1-tetradecanol,CCCCCCCCCCCCCCO,0.619093331
1-heptanethiol,CCCCCCCS,0.613841822
benzyl_salicylate,Oc1ccccc1C(=O)OCc2ccccc2,0.612783857
butylhexanoate,CCCCCC(=O)OCCCC,0.612783857
n-hexylamine,CCCCCCN,0.612783857
pcb,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,0.612783857
sinapic_acid,COc1cc(/C=C/C(O)=O)cc(OC)c1O,0.612783857
dioctyl_sebacate,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,0.603144373
dbe,COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,0.602059991
dibenzylether,C(OCc1ccccc1)c2ccccc2,0.602059991
dodecan-4-ol,CCCCCCCCC(O)CCC,0.602059991
fluorescein,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,0.602059991
premix,[Cl-].C[N+](C)(C)CCCl,0.602059991
salvinorin_a,COC(=O)C1CC(OC(C)=O)C(=O)[C@H]2C1(C)CC[C@H]3C(=O)O[C@@H](CC23C)c4cocc4,0.602059991
sulfoxide,CCCCCCCC[S](=O)C(C)Cc1ccc2OCOc2c1,0.602059991
methylanisole,COc1ccccc1C,0.600972896
ep,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(C)=C\c3csc(C)n3,0.599883072
1-octanethiol,CCCCCCCCS,0.596597096
pema,O.CCC(C(N)=O)(C(N)=O)c1ccccc1,0.593839661
n-benzyl-2-methyl-4-nitroaniline,Cc1cc(ccc1NCc2ccccc2)[N+]([O-])=O,0.591287265
doa,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.591064607
dpe,ClC(Cl)(Cl)C(c1ccccc1)c2ccccc2,0.591064607
isopropyl_ether,CC(C)OC(C)C,0.591064607
pentacene,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,0.591064607
tbc,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,0.590507462
benzyl_ether,C(OCc1ccccc1)c2ccccc2,0.586587305
isopropylether,CC(C)OC(C)C,0.584896344
1-decanethiol,CCCCCCCCCCS,0.584331224
tetraline,C1CCc2ccccc2C1,0.583198774
dibenzyl_ether,C(OCc1ccccc1)c2ccccc2,0.582177038
diphenyl_ether,O(c1ccccc1)c2ccccc2,0.581266805
diisopropylether,CC(C)OC(C)C,0.580924976
oleyl_alcohol,CCCCCCCC\C=C/CCCCCCCCO,0.579783597
dio,C1COCCO1,0.574031268
butyl_phenyl_ether,CCCCOc1ccccc1,0.572174314
diphenylether,O(c1ccccc1)c2ccccc2,0.571708832
1-pentadecanol,CCCCCCCCCCCCCCCO,0.57054294
acrylate_trimethylolpropane_triacrylate,CCC(CO)(CO)CO.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C.OC(=O)C=C,0.56937391
1-chloro-n-hexadecane,CCCCCCCCCCCCCCCCCl,0.568201724
di-isopropyl_ether,CC(C)OC(C)C,0.568201724
epoxy_resin,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(=O)C=C.ClCC3CO3,0.568201724
tpp,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,0.568201724
octylamine,CCCCCCCCN,0.567026366
tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,0.567026366
badge,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,0.556302501
butyl_ether,CCCCOCCCC,0.556302501
diethylamine,CCNCC,0.556302501
eicosylamine,CCCCCCCCCCCCCCCCCCCCN,0.556302501
pmda,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,0.556302501
poly4-vinylphenol,CCc1ccc(O)cc1,0.556302501
2-propanol–toluene,CC(C)O.Cc1ccccc1,0.555094449
diisopropyl_ether,CC(C)OC(C)C,0.555094449
n-octylamine,CCCCCCCCN,0.553883027
dibromoethane,CC(Br)Br,0.553276046
1-hexadecanol,CCCCCCCCCCCCCCCCO,0.551449998
bismaleimide,O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,0.550228353
1-hexanamine,CCCCCCN,0.547774705
perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,0.547159121
dea,OCCNCCO,0.546542663
2-methylamino-5-chlorobenzophenone,CNc1ccc(Cl)cc1C(=O)c2ccccc2,0.544068044
acrylonitrile_butadiene_styrene,C=CC=C.C=CC#N.C=Cc1ccccc1,0.544068044
atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,0.544068044
hydrazide,NNC(=O)c1ccncc1,0.544068044
lpa,OC(=O)CCCC[C@@H]1CCSS1,0.544068044
peceol,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO,0.544068044
pyromellitic_dianhydride,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,0.544068044
